artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
L'Indécis,Homebound,34.0,0.125,0.569,151607.0,0.87,0.893,A,0.397,-4.019,Minor,0.135,91.00200000000001,0.5,Jazz
Damu The Fudgemunk,They Who Flock,38.0,0.000794,0.7490000000000001,329345.0,0.659,0.6679999999999999,G#,0.688,-8.881,Minor,0.0527,93.603,0.321,Jazz
TRI4TH,Sol Levante,42.0,0.0788,0.705,208027.0,0.7859999999999999,0.938,G,0.19,-7.77,Minor,0.0315,115.126,0.6679999999999999,Jazz
Guts,It’s Like That (feat. Dillon Cooper),42.0,0.151,0.779,214489.0,0.742,0.0017399999999999,G,0.126,-7.36,Major,0.0412,91.035,0.358,Jazz
Fourplay,Let's Make Love,38.0,0.47200000000000003,0.7090000000000001,236733.0,0.489,0.0,E,0.08,-9.15,Major,0.0661,81.62,0.629,Jazz
Chick Corea,"Song for Amadeus (Improvisation on Mozart's Piano Sonata No. 2 in F Major, K. 280/189e: II. Adagio) - Vocal",36.0,0.98,0.509,149067.0,0.00672,0.00301,G#,0.0842,-30.4,Major,0.0408,127.161,0.327,Jazz
Nick Hakim,Cuffed,45.0,0.0372,0.3939999999999999,351387.0,0.631,0.00581,A,0.0817,-6.39,Minor,0.159,85.553,0.3979999999999999,Jazz
Tricky,Black Steel,48.0,0.0072900000000000005,0.44,340000.0,0.809,0.0094,A,0.0949,-8.963,Major,0.0836,169.765,0.7390000000000001,Jazz
Chet Baker,My Ideal,46.0,0.8170000000000001,0.534,262627.0,0.0123,2.2e-05,C,0.0822,-26.88,Minor,0.0646,77.084,0.254,Jazz
Oscar Peterson Trio,You Look Good To Me,41.0,0.748,0.423,292067.0,0.251,0.2339999999999999,C,0.11800000000000001,-17.635,Major,0.0379,90.38600000000001,0.182,Jazz
Thelonious Monk,Brilliant Corners,34.0,0.5660000000000001,0.57,467760.0,0.29100000000000004,0.0283,F#,0.0453,-13.953,Major,0.0425,106.24700000000001,0.423,Jazz
Bill Frisell,Pipeline,42.0,0.385,0.395,426173.0,0.691,0.903,A,0.132,-11.898,Minor,0.0392,128.879,0.0968,Jazz
Leslie Odom Jr.,Wait for It,69.0,0.125,0.561,193750.0,0.474,5.07e-06,F#,0.0922,-9.638,Major,0.155,,0.513,Jazz
People Under The Stairs,The L.A. Song,45.0,0.0867,0.84,266973.0,0.9109999999999999,0.0,G,0.1169999999999999,-3.241,Major,0.221,,0.7340000000000001,Jazz
Ray Barretto,El Watusi,41.0,0.8640000000000001,0.507,,0.5660000000000001,4.55e-06,D,0.0676,-9.446,Major,0.111,86.036,0.706,Jazz
El Michels Affair,Detroit Twice,36.0,0.0699,0.695,180307.0,0.5920000000000001,0.8290000000000001,D,0.162,-7.1579999999999995,Minor,0.0333,95.419,0.9209999999999999,Jazz
Kenny Dorham,"Monaco - Live Set #1 from Cafe Bohemia, New York, U.S.A./1956; Alternate Take; Rudy Van Gelder Edition; 24-Bit Mastering/2001 Digital Remaster",47.0,0.735,0.557,,0.488,0.006520000000000001,C#,0.146,-9.451,Major,0.0413,105.001,0.449,Jazz
Twit One,Roy Roy,43.0,0.489,0.655,99209.0,0.426,0.000779,D#,0.151,-10.86,Major,0.0563,156.94899999999998,0.361,Jazz
Scale The Summit,The Olive Tree,34.0,0.00251,0.4629999999999999,307813.0,0.7959999999999999,0.778,C,0.593,-4.064,Major,0.0525,95.041,0.494,Jazz
Walter Beasley,Late Night Lover,45.0,0.445,0.715,197013.0,0.662,0.0,F,0.0813,-5.761,Minor,0.188,87.904,0.626,Jazz
Lemongrass,Moonshine,33.0,0.525,0.632,277594.0,0.374,0.9159999999999999,E,0.0871,-13.772,Minor,0.0711,179.928,0.631,Jazz
Bonobo,Transmission 94 - Parts 1 & 2,38.0,0.451,0.584,477547.0,0.574,0.9390000000000001,C,0.121,-9.439,Minor,0.0255,107.02,0.182,Jazz
CYNE,First Person,43.0,0.507,0.6859999999999999,170277.0,0.8,0.000549,C#,0.28600000000000003,-7.279,Major,0.21600000000000003,96.48,0.467,Jazz
Duke Ellington,Don't Get Around Much Anymore,39.0,0.8190000000000001,0.6,183693.0,0.278,4.55e-05,A#,0.415,-10.712,Minor,0.0431,95.53200000000001,0.6709999999999999,Jazz
Will Downing,A Million Ways,49.0,0.467,0.605,,0.4579999999999999,5.98e-05,G#,0.109,-9.543,Major,0.0464,74.911,0.5329999999999999,Jazz
Maria Augusta,All Of Me (Bossa Version),50.0,0.925,0.7240000000000001,,0.259,0.000106,B,0.102,-14.834000000000001,Minor,0.0316,119.898,0.42,Jazz
Nai Palm,Homebody,49.0,0.965,0.42,236280.0,0.0736,0.00117,C#,0.10800000000000001,-16.387,Minor,0.0317,100.432,0.0977,Jazz
Thomas Giles,Gazer (feat. Devin Townsend),34.0,0.369,0.638,264957.0,0.7759999999999999,0.754,C,0.0826,-7.686,Major,0.0363,129.993,0.447,Jazz
Richard Elliot,This Could Be Real,44.0,0.308,0.698,295867.0,0.8270000000000001,0.0,F#,0.0314,-5.506,Major,0.0503,88.191,0.639,Jazz
Margaret Whiting,Time After Time,45.0,0.9279999999999999,0.23600000000000002,176973.0,0.17300000000000001,0.0006230000000000001,F#,0.239,-13.844000000000001,Major,0.0319,82.34200000000001,0.2789999999999999,Jazz
Taylor McFerrin,Postpartum,32.0,0.00673,0.185,238960.0,0.595,0.0669,B,0.107,-9.05,Major,0.0557,105.874,0.163,Jazz
Jordan Rakei,Lucid,43.0,0.599,0.674,292044.0,0.355,0.0408,B,0.374,-11.623,Minor,0.0491,155.995,0.3339999999999999,Jazz
Cafe Jazz Deluxe,Java Jazz Chill Out,38.0,0.978,0.452,64168.0,0.0785,0.914,A,0.106,-23.385,Minor,0.0764,201.773,0.588,Jazz
Kamasi Washington,The Psalmnist,26.0,0.42100000000000004,0.62,438905.0,0.856,0.866,G,0.133,-8.293,Minor,0.111,111.56299999999999,0.579,Jazz
Stan Getz,Ligia,38.0,0.9590000000000001,0.3979999999999999,320200.0,0.13,0.105,F#,0.115,-19.584,Minor,0.0438,150.174,0.247,Jazz
Warren Hill,Fallen,43.0,0.0204,0.72,257667.0,0.483,0.0185,G#,0.0677,-8.554,Major,0.0265,114.917,0.48100000000000004,Jazz
El Gran Combo De Puerto Rico,Ojos Chinos,54.0,0.66,0.772,261333.0,0.645,1.4499999999999997e-05,F,0.142,-8.32,Minor,0.0465,93.876,0.968,Jazz
Boney James,On The Prowl,29.0,0.703,0.629,245053.0,0.366,0.233,A#,0.11,-11.297,Minor,0.0452,80.02,0.431,Jazz
GoGo Penguin,Garden Dog Barbecue,44.0,0.0872,0.375,,0.426,0.88,G#,0.10800000000000001,-14.459000000000001,Major,0.0517,96.23899999999999,0.669,Jazz
Sarah Vaughan,It Don't Mean A Thing (If It Ain't Got That Swing),40.0,0.8390000000000001,0.5,148560.0,0.578,0.0,F,0.301,-6.195,Major,0.215,,0.662,Jazz
Norah Jones,Wintertime,64.0,0.8140000000000001,0.529,228235.0,0.21600000000000003,0.0248,C,0.1119999999999999,-11.675,Major,0.044000000000000004,,0.1989999999999999,Jazz
Moonchild,Just a Minute,28.0,0.9059999999999999,0.7979999999999999,178200.0,0.24100000000000002,0.3929999999999999,A,0.1169999999999999,-15.654000000000002,Major,0.0739,80.142,0.3879999999999999,Jazz
Susie Arioli,All the Way,52.0,0.843,0.506,187280.0,0.307,3.93e-06,F,0.1119999999999999,-11.210999999999999,Major,0.0337,111.68799999999999,0.183,Jazz
"Earth, Wind & Fire",Devotion,49.0,0.452,0.5720000000000001,290187.0,0.355,0.0016,A,0.14400000000000002,-12.863,Minor,0.0286,83.052,0.51,Jazz
David T. Walker,Lovin' You,34.0,0.982,0.532,224360.0,0.222,0.9109999999999999,A,0.10800000000000001,-20.414,Major,0.0292,137.727,0.6709999999999999,Jazz
Lucas Arruda,Kalunga,43.0,0.909,0.525,119179.0,0.26,0.94,D,0.306,-22.534000000000002,Major,0.0458,100.02799999999999,0.2,Jazz
El Gran Combo De Puerto Rico,Arroz Con Habichuela,49.0,0.298,0.6940000000000001,356640.0,0.6970000000000001,0.00027,A#,0.0561,-6.521,Minor,0.0598,138.244,0.907,Jazz
Hiatus Kaiyote,Atari,42.0,0.102,0.324,368533.0,0.542,0.0154,A,0.34,-9.63,Major,0.10300000000000001,158.089,0.409,Jazz
Anita Baker,Will You Be Mine,36.0,0.4379999999999999,0.7170000000000001,,0.3989999999999999,0.000554,A,0.0322,-13.877,Minor,0.0317,88.816,0.753,Jazz
Lars Gullin,Danny's Dream,29.0,0.9540000000000001,0.49,339640.0,0.122,0.195,G#,0.125,-16.02,Major,0.0358,63.476000000000006,0.223,Jazz
Norman Brown,Lydian,32.0,0.28300000000000003,0.6779999999999999,391360.0,0.619,0.731,C,0.0549,-10.824000000000002,Major,0.0425,113.867,0.49200000000000005,Jazz
George Benson,Give Me the Night,61.0,0.314,0.85,222627.0,0.466,0.0234,C#,0.129,-15.673,Major,0.0555,109.936,0.86,Jazz
Taj Mahal,Lovin' in My Baby's Eyes,50.0,0.8029999999999999,0.561,159133.0,0.514,2.32e-06,A#,0.1119999999999999,-9.964,Major,0.0359,,0.524,Jazz
Pink Martini,Mas Que Nada,46.0,0.769,0.387,157040.0,0.5589999999999999,0.0006360000000000001,D,0.172,-8.234,Major,0.0509,178.043,0.664,Jazz
,Easy Listening Tune for Cafes and Coffee Houses,37.0,0.846,0.6990000000000001,72000.0,0.258,0.525,G#,0.201,-12.411,Major,0.0455,119.615,0.672,Jazz
Rubén Blades,Camaleón,39.0,0.485,0.6990000000000001,253693.0,0.53,9.87e-06,G,0.0554,-11.52,Minor,0.0373,135.70600000000002,0.922,Jazz
Candiria,Blood,35.0,0.0008560000000000001,0.366,196720.0,0.9620000000000001,0.000339,B,0.0416,-4.072,Major,0.191,140.313,0.444,Jazz
Plini,Cloudburst,36.0,7.900000000000001e-05,0.42700000000000005,213601.0,0.83,0.6459999999999999,A#,0.6579999999999999,-7.465,Minor,0.0509,,0.725,Jazz
Oscar Peterson,Ode to Billy Joe - Remastered,36.0,0.701,0.631,159993.0,0.607,0.28,G#,0.0791,-12.355,Major,0.0363,112.714,0.836,Jazz
Bonus Points,Hammock Days,47.0,0.0175,0.693,153495.0,0.6990000000000001,0.282,C#,0.405,-7.688,Major,0.0532,85.994,0.47100000000000003,Jazz
Nickodemus,A Long Engagement,41.0,0.018000000000000002,0.746,258268.0,0.617,0.7709999999999999,G,0.33,-9.42,Major,0.0371,105.04799999999999,0.677,Jazz
Dave Brubeck,In Your Own Sweet Way,41.0,0.9890000000000001,0.627,297533.0,0.19,0.875,A#,0.113,-15.454,Major,0.0416,120.51899999999999,0.11800000000000001,Jazz
Four Tet,You Are Loved,44.0,0.91,0.649,368595.0,0.4639999999999999,0.9259999999999999,B,0.111,-11.497,Major,0.0378,120.99600000000001,0.233,Jazz
Rick Braun,Pool Dancer,41.0,0.183,0.797,260600.0,0.555,0.57,F,0.0748,-9.247,Major,0.0482,97.975,0.746,Jazz
Ray Charles,Let the Good Times Roll,47.0,0.66,0.585,171773.0,0.4539999999999999,0.0,G,0.586,-9.366,Major,0.28800000000000003,103.573,0.654,Jazz
Freddie Joachim,Midnight Trains,38.0,0.0525,0.807,196129.0,0.8270000000000001,0.9470000000000001,D,0.0799,-5.9270000000000005,Major,0.0843,93.066,0.604,Jazz
Hailu Mergia,Yene Nesh Wey (Amalele),35.0,0.106,0.42200000000000004,278347.0,0.574,0.00209,B,0.221,-11.334000000000001,Major,0.0337,105.337,0.767,Jazz
The Budos Band,Aynotchesh Yererfu,33.0,0.0629,0.605,193093.0,0.644,0.884,C,0.102,-7.914,Minor,0.0256,104.0,0.956,Jazz
Weldon Irvine,Morning Sunrise,46.0,0.132,0.48200000000000004,199320.0,0.557,0.731,A,0.201,-7.645,Minor,0.0487,135.36700000000002,0.54,Jazz
Emancipator,First Snow,48.0,0.759,0.603,,0.396,0.856,B,0.275,-12.765,Major,0.034,95.0,0.198,Jazz
The Dillinger Escape Plan,Limerent Death,37.0,5.05e-06,0.373,246430.0,0.9590000000000001,0.0218,C#,0.636,-3.513,Major,0.13,100.04700000000001,0.2689999999999999,Jazz
Charlie Parker Quintet,Au Privave - Take 2,28.0,0.755,0.682,158200.0,0.539,0.0011300000000000001,F,0.0836,-10.425999999999998,Major,0.038,,0.907,Jazz
The Dave Brubeck Quartet,Pick up Sticks,39.0,0.81,0.516,256467.0,0.306,0.305,F,0.17800000000000002,-15.786,Minor,0.0356,138.77700000000002,0.496,Jazz
,Quimbara,35.0,0.626,0.509,265173.0,0.82,1.1900000000000001e-05,A,0.3329999999999999,-4.087,Major,0.17300000000000001,63.068000000000005,0.953,Jazz
Benny Sings,My World,35.0,0.833,0.759,176373.0,0.207,0.821,F#,0.231,-17.968,Major,0.054000000000000006,150.016,0.446,Jazz
Kinobe,Chasing Clouds,37.0,0.0914,0.657,256313.0,0.779,0.882,G#,0.142,-10.357000000000001,Major,0.0325,90.0,0.569,Jazz
Yusef Lateef,Love Theme From Spartacus - Remastered,52.0,0.635,0.522,251600.0,0.379,0.925,E,0.114,-14.095999999999998,Minor,0.0286,133.69799999999998,0.4539999999999999,Jazz
Pat Metheny,One Quiet Night,38.0,0.816,0.332,301880.0,0.135,0.861,E,0.0887,-22.139,Minor,0.0463,88.29299999999999,0.0914,Jazz
"Earth, Wind & Fire",Saturday Nite,39.0,0.1169999999999999,0.6629999999999999,242067.0,0.7290000000000001,0.0138,E,0.672,-10.704,Major,0.0556,106.213,0.963,Jazz
Dean Martin,On An Evening In Roma (Sott'er Celo De Roma) - Remastered,52.0,0.927,0.47200000000000003,151533.0,0.217,1.81e-06,G,0.35200000000000004,-13.853,Major,0.0295,136.991,0.556,Jazz
Art Blakey & The Jazz Messengers,So Tired - Remastered 2005,34.0,0.727,0.607,399200.0,0.475,0.0014,C#,0.163,-9.929,Major,0.0448,85.134,0.61,Jazz
Herbie Mann,Odalisque,0.0,0.77,0.684,,0.502,0.737,C,0.0961,-17.233,Major,0.0344,136.22299999999998,0.79,Jazz
L One,Rum,42.0,0.47100000000000003,0.49200000000000005,,0.201,0.8290000000000001,C#,0.109,-9.603,Minor,0.21600000000000003,169.482,0.569,Jazz
Héctor Lavoe,Emborrachame De Amor,39.0,0.461,0.48100000000000004,180333.0,0.47200000000000003,0.0,C,0.102,-6.504,Major,0.0711,171.923,0.6990000000000001,Jazz
Mujo,Christmas Chill,49.0,0.318,0.638,125067.0,0.0703,0.937,C,0.107,-12.257,Major,0.165,77.366,0.648,Jazz
Guru's Jazzmatazz,Plenty,44.0,0.161,0.804,278600.0,0.4029999999999999,2.01e-06,G#,0.5329999999999999,-6.027,Major,0.41,82.646,0.611,Jazz
,Friends And Strangers,32.0,0.14800000000000002,0.669,291773.0,0.57,0.0152,G#,0.129,-9.383,Minor,0.0241,94.48899999999999,0.924,Jazz
Jimmy Durante,Hello Young Lovers - Remastered,3.0,0.604,0.348,184853.0,0.369,0.00137,D,0.207,-9.443999999999999,Major,0.0394,131.80700000000002,0.293,Jazz
Anti-Lilly & Phoniks,14 Til,46.0,0.042,0.8140000000000001,267363.0,0.5920000000000001,0.0,F#,0.0712,-7.001,Major,0.309,90.009,0.904,Jazz
Joe Sample,The Road Less Traveled,32.0,0.1689999999999999,0.645,,0.498,0.848,G,0.139,-14.125,Minor,0.0447,87.985,0.743,Jazz
Slowy,Showdown - Instrumental,46.0,0.633,0.797,146307.0,0.355,0.0015199999999999,B,0.122,-8.615,Major,0.138,,0.604,Jazz
Blossom Dearie,L'etang,37.0,0.988,0.349,144960.0,0.0414,0.0020399999999999,F#,0.0823,-22.999000000000002,Minor,0.0355,100.49700000000001,0.2,Jazz
Balla Et Ses Balladins,Paulette,45.0,0.6559999999999999,0.784,,0.424,0.0033799999999999,E,0.131,-14.927999999999999,Minor,0.0399,132.409,0.919,Jazz
Kermit Ruffins,Skokiaan,33.0,0.337,0.5,349827.0,0.623,0.0060799999999999,D#,0.6890000000000001,-9.083,Major,0.149,99.493,0.721,Jazz
Malynda Hale,The La La Song,29.0,0.0163,0.6920000000000001,182563.0,0.604,0.0002379999999999,B,0.18100000000000002,-6.9689999999999985,Major,0.0344,94.999,0.47,Jazz
Arthur Lyman,Hilawe,35.0,0.8740000000000001,0.58,71267.0,0.114,0.9259999999999999,D,0.109,-28.686,Major,0.0463,,0.922,Jazz
Atlantic Five Jazz Band,When Sunny Gets Blue,33.0,0.9940000000000001,0.41100000000000003,232320.0,0.175,0.946,F,0.10300000000000001,-13.995,Major,0.0433,71.632,0.171,Jazz
Ajmw,looking.up,36.0,0.451,0.835,138795.0,0.191,0.914,G,0.107,-8.619,Major,0.354,83.1,0.474,Jazz
Mulatu Astatke,Tezeta (Nostalgia),54.0,0.9540000000000001,0.546,376640.0,0.355,0.92,F,0.0891,-10.199,Minor,0.0368,81.054,0.5,Jazz
Stanley Turrentine,Sugar,36.0,0.43700000000000006,0.568,603413.0,0.5429999999999999,0.0133,C,0.107,-10.975,Minor,0.038,124.001,0.544,Jazz
Diana Krall,Sorry Seems To Be The Hardest Word,35.0,0.9309999999999999,0.406,251000.0,0.107,1.56e-05,E,0.111,-12.207,Minor,0.0358,116.259,0.242,Jazz
Cheo Feliciano,El Raton,49.0,0.855,0.535,230573.0,0.341,8.26e-05,A,0.10400000000000001,-15.754000000000001,Minor,0.0378,94.76700000000001,0.483,Jazz
Nina Simone,Sinnerman - Live In New York/1965,64.0,0.638,0.439,622000.0,0.529,6.07e-06,B,0.102,-13.224,Minor,0.0971,146.735,0.705,Jazz
"Orlando ""Cachaíto"" López",Mis Dos Pequeñas,47.0,0.757,0.727,246893.0,0.598,0.932,C,0.105,-11.715,Major,0.034,,0.972,Jazz
Jay Soto,Mesmerized,35.0,0.3279999999999999,0.7,216680.0,0.723,0.741,F,0.0852,-6.9110000000000005,Minor,0.0318,96.01299999999999,0.885,Jazz
The Rippingtons,Wild Tales (feat. Russ Freeman),34.0,0.0002569999999999,0.631,270133.0,0.873,0.628,G,0.287,-6.4910000000000005,Major,0.0309,122.03,0.3879999999999999,Jazz
El Jazzy Chavo,Uhuru,12.0,0.618,0.7759999999999999,159000.0,0.5589999999999999,0.633,G,0.12,-8.926,Major,0.046,89.016,0.5589999999999999,Jazz
Bill Evans,Young And Foolish,49.0,0.973,0.4379999999999999,354667.0,0.0172,0.557,A,0.0815,-23.66,Major,0.0384,101.01,0.136,Jazz
Theon Cross,Activate,39.0,0.00134,0.534,286988.0,0.7140000000000001,0.8809999999999999,C,0.0809,-9.262,Major,0.0998,146.365,0.823,Jazz
The Skatalites,Eastern Standard Time,46.0,0.618,0.816,163538.0,0.523,0.41100000000000003,C,0.0681,-9.937000000000001,Major,0.0586,125.723,0.9490000000000001,Jazz
Swarvy,Headgames,34.0,0.0876,0.731,141441.0,0.812,0.495,F#,0.157,-3.554,Major,0.223,95.035,0.821,Jazz
Johnny Mathis,"Too Much, Too Little, Too Late (with Deniece Williams)",38.0,0.51,0.49700000000000005,180347.0,0.524,4.760000000000001e-05,F,0.0487,-10.66,Minor,0.063,,0.711,Jazz
Ohio Players,Don't Say Goodbye,42.0,0.146,0.809,348467.0,0.56,9.42e-05,G,0.0835,-8.644,Minor,0.0612,116.993,0.825,Jazz
Wax Tailor,There Is Danger - G Bonson Remix,48.0,0.0104,0.768,247787.0,0.654,0.882,A#,0.195,-6.849,Minor,0.044000000000000004,99.985,0.48200000000000004,Jazz
Ahmad Jamal,Marseille (feat. Abd Al Malik),45.0,0.768,0.434,443480.0,0.301,0.00132,C,0.24100000000000002,-15.755,Major,0.0447,85.82,0.315,Jazz
"Earth, Wind & Fire",Keep Your Head to the Sky,46.0,0.0321,0.525,311080.0,0.47600000000000003,0.0,A,0.5660000000000001,-13.202,Minor,0.0531,88.943,0.37,Jazz
Mujo,El Manaba,40.0,0.648,0.7140000000000001,136413.0,0.124,0.816,D#,0.10400000000000001,-11.168,Minor,0.165,93.09899999999999,0.65,Jazz
Dan Siegel,After All,40.0,0.501,0.48700000000000004,284840.0,0.395,0.0279999999999999,D,0.0775,-12.877,Minor,0.0279,84.79700000000001,0.29600000000000004,Jazz
Chris Botti,I've Grown Accustomed to Her Face,28.0,0.847,0.6459999999999999,188627.0,0.244,0.001,C,0.113,-15.07,Major,0.0458,84.943,0.433,Jazz
Gerald Albright,Winelight,47.0,0.20800000000000002,0.7759999999999999,352573.0,0.7859999999999999,0.8390000000000001,F,0.11,-6.976,Minor,0.045,98.99799999999999,0.669,Jazz
Caravan Palace,The Dirty Side of the Street,33.0,0.451,0.795,,0.9690000000000001,0.000356,G#,0.0944,-3.6919999999999997,Major,0.273,132.977,0.716,Jazz
El Michels Affair,Bring Da Ruckus,34.0,0.00557,0.634,190987.0,0.547,0.743,D,0.0843,-9.368,Major,0.0448,86.884,0.467,Jazz
Freddie Joachim,Calm,33.0,0.0215,0.677,123267.0,0.695,0.9229999999999999,F,0.289,-4.492,Minor,0.151,95.012,0.5579999999999999,Jazz
Eva Cassidy,Songbird,56.0,0.851,0.384,224573.0,0.225,0.00547,G,0.13,-12.159,Major,0.0281,153.488,0.154,Jazz
Jamiroquai,We Can Do It,49.0,0.00434,0.805,246667.0,0.7759999999999999,0.0002299999999999,F,0.0473,-5.6320000000000014,Minor,0.0553,109.01299999999999,0.9109999999999999,Jazz
Stanley Turrentine,Sunny,36.0,0.557,0.5589999999999999,440667.0,0.488,0.0621,F,0.0848,-6.976,Minor,0.0301,121.92399999999999,0.624,Jazz
Nola Grey,Starlight - Radio Version,49.0,0.0005769999999999,0.7709999999999999,178240.0,0.653,0.509,D,0.0639,-8.104,Minor,0.0282,127.97,0.802,Jazz
Dean Martin,Just In Time - Remastered/1998,46.0,0.667,0.57,135253.0,0.196,0.0,D,0.10400000000000001,-14.374,Minor,0.0442,,0.612,Jazz
FloFilz,Jazzchains,38.0,0.302,0.66,140764.0,0.5660000000000001,0.09300000000000001,D,0.113,-8.81,Minor,0.2,81.995,0.695,Jazz
Thelonious Monk Trio,Blue Monk - Rudy Van Gelder Remaster,44.0,0.66,0.444,456360.0,0.3389999999999999,0.10300000000000001,D#,0.163,-16.936,Major,0.0417,,0.657,Jazz
Diana Krall,Isn't It Romantic,49.0,0.917,0.47700000000000004,268147.0,0.0893,5.13e-05,F,0.138,-16.836,Major,0.0365,104.861,0.23800000000000002,Jazz
Sophie Milman,Beautiful Love,47.0,0.875,0.435,179373.0,0.36,4.49e-05,G,0.131,-9.571,Minor,0.0342,108.74799999999999,0.32,Jazz
Django Reinhardt,Limehouse Blues,36.0,0.937,0.687,166000.0,0.53,0.76,D,0.121,-10.713,Major,0.0324,140.749,0.8270000000000001,Jazz
Paul Hardcastle,Walkin' to Freedom,30.0,0.0469,0.544,287680.0,0.7170000000000001,0.0517,E,0.0508,-9.712,Minor,0.0438,170.43900000000002,0.598,Jazz
Ella Fitzgerald,White Christmas,38.0,0.79,0.3979999999999999,181187.0,0.21600000000000003,0.0,G#,0.33,-15.654000000000002,Major,0.0361,,0.337,Jazz
Phil Perry,Living For The Love Of You,37.0,0.7659999999999999,0.584,248040.0,0.539,0.00842,C,0.308,-9.232999999999999,Minor,0.044000000000000004,93.042,0.462,Jazz
Marcus Miller,7-T's,45.0,0.0441,0.6559999999999999,355987.0,0.755,0.78,G,0.113,-7.952000000000001,Minor,0.07,93.419,0.927,Jazz
Ruben Gonzalez,Melodía Del Rio,46.0,0.637,0.633,282707.0,0.2769999999999999,0.86,C,0.184,-15.59,Major,0.0329,106.59100000000001,0.486,Jazz
Anita Baker,Angel,53.0,0.705,0.625,300707.0,0.373,4.95e-05,A,0.0699,-12.718,Minor,0.0315,81.03399999999999,0.486,Jazz
Miles Davis,In a Silent Way - LP Mix,38.0,0.945,0.426,1192333.0,0.276,0.871,G#,0.10800000000000001,-15.045,Minor,0.0357,132.244,0.0493,Jazz
Pete Rock,Microphonist Wanderlust,44.0,0.188,0.831,262427.0,0.431,0.000217,F#,0.12300000000000001,-9.82,Major,0.34600000000000003,87.955,0.6509999999999999,Jazz
Zaz,Ni oui ni non,51.0,0.536,0.66,211680.0,0.711,0.0,A#,0.0797,-5.519,Minor,0.268,138.815,0.608,Jazz
3-11 Porter,Surround me with your love - Mental Overdrive remix,40.0,0.000278,0.7659999999999999,349613.0,0.857,0.6609999999999999,G,0.604,-7.154,Major,0.0921,103.99,0.591,Jazz
Dean Martin,Send Me the Pillow You Dream On,39.0,0.778,0.478,150267.0,0.341,9.73e-06,A#,0.254,-13.18,Major,0.0286,105.10700000000001,0.62,Jazz
Nina Simone,Sinnerman,63.0,0.636,0.436,622000.0,0.529,1.22e-05,B,0.0849,-13.818,Minor,0.10300000000000001,147.361,0.685,Jazz
Waldeck,Why Did We Fire the Gun?,45.0,0.889,0.759,333281.0,0.475,0.8079999999999999,F,0.3429999999999999,-9.69,Minor,0.0398,101.475,0.627,Jazz
Jessy J,Lovesong,35.0,0.797,0.742,316378.0,0.287,0.622,G#,0.0988,-10.569,Major,0.0371,118.947,0.23,Jazz
DJ Mitsu The Beats,A Little Piano,47.0,0.0515,0.7390000000000001,148594.0,0.825,0.852,F,0.11900000000000001,-6.3039999999999985,Major,0.0506,98.029,0.76,Jazz
Thelonious Monk,North Of The Sunset,32.0,0.983,0.63,113373.0,0.2739999999999999,0.8959999999999999,D#,0.0968,-10.883,Major,0.10300000000000001,82.249,0.42,Jazz
Diana Krall,But Not For Me,49.0,0.976,0.52,185307.0,0.0503,1.22e-06,F,0.12300000000000001,-14.661,Major,0.0433,105.37100000000001,0.29600000000000004,Jazz
Jamie Cullum,Get A Hold Of Yourself,32.0,0.866,0.3289999999999999,219681.0,0.319,0.0478,G,0.129,-15.183,Major,0.0287,,0.281,Jazz
